TissueType,ZT,Metabolite,Abundance,RelAbundance
Brain,12,Tyr-CA_23803,2837,100
Brain,12,Trp-CA_25121,14201,57.25517074547434
Brain,12,Ornithine-CA_20652,0,NA
Brain,12,Arg-DCA_22370,0,NA
Brain,12,Ser-CA_18843,0,NA
Brain,12,Val-CA_19625,12869,55.398191993112356
Brain,12,Thr-CA_19755,0,NA
Brain,12,Ile-Leu-CA_20580,169846,84.99652199152267
Brain,12,Ile-Leu-gMCA_20581,0,NA
Brain,12,Lys-CA_21586,11094,100
Brain,12,Lys-CA_21588,0,NA
Brain,12,Lys-bMCA_21589,0,NA
Brain,12,Lys-gMCA_21590,0,NA
Brain,12,Met-CA_21765,0,0
Brain,12,Met-gMCA_21769,0,NA
Brain,12,Phe-bMCA_22813,0,NA
Brain,12,Arg-bMCA_23369,0,NA
Brain,12,Tyr-bMCA_23804,3986,46.32728963272896
Brain,12,Trp-bMCA_25122,0,NA
Brain,16,Ala-CA_17790,0,0
Brain,16,Ala-bMCA_17791,0,NA
Brain,16,Asn-CA_20646,0,0
Brain,16,Gln-CA_21582,18512761,98.03346970362351
Brain,16,His-CA_22165,0,0
Brain,16,Arg-CA_23368,0,NA
Brain,16,Phe-CA_22812,41946,100
Brain,16,Tyr-CA_23803,0,0
Brain,16,Trp-CA_25121,24803,100
Brain,16,Ornithine-CA_20652,0,NA
Brain,16,Arg-DCA_22370,0,NA
Brain,16,Ser-CA_18843,0,NA
Brain,16,Val-CA_19625,19476,83.83986224709427
Brain,16,Thr-CA_19755,0,NA
Brain,16,Ile-Leu-CA_20580,175351,87.75140496529498
Brain,16,Ile-Leu-gMCA_20581,0,NA
Brain,16,Lys-CA_21586,5527,49.819722372453576
Brain,16,Lys-CA_21588,0,NA
Brain,16,Lys-bMCA_21589,0,NA
Brain,16,Lys-gMCA_21590,0,NA
Brain,16,Met-CA_21765,0,0
Brain,16,Met-gMCA_21769,0,NA
Brain,16,Phe-bMCA_22813,0,NA
Brain,16,Arg-bMCA_23369,0,NA
Brain,16,Tyr-bMCA_23804,8604,100
Brain,16,Trp-bMCA_25122,0,NA
Brain,20,Ala-CA_17790,0,0
Brain,20,Ala-bMCA_17791,0,NA
Brain,20,Asn-CA_20646,2347,82.40870786516854
Brain,20,Gln-CA_21582,18884123,100
Brain,20,His-CA_22165,3468,100
Brain,20,Arg-CA_23368,0,NA
Brain,20,Phe-CA_22812,4526,10.790063414866733
Brain,20,Tyr-CA_23803,0,0
Brain,20,Trp-CA_25121,5564,22.432770229407733
Brain,20,Ornithine-CA_20652,0,NA
Brain,20,Arg-DCA_22370,0,NA
Brain,20,Ser-CA_18843,0,NA
Brain,20,Val-CA_19625,14611,62.897115798536376
Brain,20,Thr-CA_19755,0,NA
Brain,20,Ile-Leu-CA_20580,153458,76.79542804525916
Brain,20,Ile-Leu-gMCA_20581,0,NA
Brain,20,Lys-CA_21586,7052,63.565891472868216
Brain,20,Lys-CA_21588,0,NA
Brain,20,Lys-bMCA_21589,0,NA
Brain,20,Lys-gMCA_21590,0,NA
Brain,20,Met-CA_21765,0,0
Brain,20,Met-gMCA_21769,0,NA
Brain,20,Phe-bMCA_22813,0,NA
Brain,20,Arg-bMCA_23369,0,NA
Brain,20,Tyr-bMCA_23804,2894,33.63551836355184
Brain,20,Trp-bMCA_25122,0,NA
Brain,24,Ala-CA_17790,0,0
Brain,24,Ala-bMCA_17791,0,NA
Brain,24,Asn-CA_20646,0,0
Brain,24,Gln-CA_21582,18532563,98.13833027882734
Brain,24,His-CA_22165,2438,70.29988465974625
Brain,24,Arg-CA_23368,0,NA
Brain,24,Phe-CA_22812,6285,14.983550278930052
Brain,24,Tyr-CA_23803,0,0
Brain,24,Trp-CA_25121,0,0
Brain,24,Ornithine-CA_20652,0,NA
Brain,24,Arg-DCA_22370,0,NA
Brain,24,Ser-CA_18843,0,NA
Brain,24,Val-CA_19625,23230,100
Brain,24,Thr-CA_19755,0,NA
Brain,24,Ile-Leu-CA_20580,170508,85.32780855439955
Brain,24,Ile-Leu-gMCA_20581,0,NA
Brain,24,Lys-CA_21586,0,0
Brain,24,Lys-CA_21588,0,NA
Brain,24,Lys-bMCA_21589,0,NA
Brain,24,Lys-gMCA_21590,0,NA
Brain,24,Met-CA_21765,3333,100
Brain,24,Met-gMCA_21769,0,NA
Brain,24,Phe-bMCA_22813,0,NA
Brain,24,Arg-bMCA_23369,0,NA
Brain,24,Tyr-bMCA_23804,0,0
Brain,24,Trp-bMCA_25122,0,NA
CecalConts,0,Ala-CA_17790,6194,12.859426578362779
CecalConts,0,Ala-bMCA_17791,5033,11.829827241744036
CecalConts,0,Asn-CA_20646,5324,11.135745659903785
CecalConts,0,Gln-CA_21582,18464849,97.31092895780328
CecalConts,0,His-CA_22165,2836,42.7688131503544
CecalConts,0,Arg-CA_23368,0,0
CecalConts,0,Phe-CA_22812,4953,3.835253670321501
CecalConts,0,Tyr-CA_23803,0,0
CecalConts,0,Trp-CA_25121,5043,2.4017030517773463
CecalConts,0,Ornithine-CA_20652,0,0
CecalConts,0,Arg-DCA_22370,6446,8.744963438292793
CecalConts,0,Ser-CA_18843,3945,28.401727861771057
CecalConts,0,Val-CA_19625,297443,45.60568286706961
CecalConts,0,Thr-CA_19755,4277,23.594637833066695
CecalConts,0,Ile-Leu-CA_20580,143251,85.82220997387908
CecalConts,0,Ile-Leu-gMCA_20581,3646,35.685622002544775
CecalConts,0,Lys-CA_21586,4624,6.812623390399858
CecalConts,0,Lys-CA_21588,0,0
CecalConts,0,Lys-bMCA_21589,4167,1.931249913100706
CecalConts,0,Lys-gMCA_21590,0,0
CecalConts,0,Met-CA_21765,3287,38.10130984119625
CecalConts,0,Met-gMCA_21769,2179,16.75509419454056
CecalConts,0,Phe-bMCA_22813,0,0
CecalConts,0,Arg-bMCA_23369,4090,3.3290194450549
